"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7HX3C5XW","journalArticle","2017","Oulghazi, S.; Khayi, S.; Lafkih, N.; Massaoudi, Y.; El Karkouri, A.; El Hassouni, M.; Faure, D.; Moumni, M.","First Report of Dickeya dianthicola Causing Blackleg Disease on Potato in Morocco","Plant Disease","","0191-2917","10.1094/PDIS-04-17-0548-PDN","http://apsjournals.apsnet.org/doi/10.1094/PDIS-04-17-0548-PDN","","2017-09","2017-09-07 08:40:20","2017-09-07 08:48:53","2017-09-07 08:40:20","1671","","9","101","","","","","","","","","","en","","","","","CrossRef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JWWJWQGK","journalArticle","2016","Khayi, Slimane; Cigna, Jérémy; Chong, Teik Min; Quêtu-Laurent, Angélique; Chan, Kok-Gan; Hélias, Valérie; Faure, Denis","Transfer of the potato plant isolates of Pectobacterium wasabiae to Pectobacterium parmentieri sp. nov.","International Journal of Systematic and Evolutionary Microbiology","","","","http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001524","","2016","2017-09-07 08:47:56","2017-09-07 08:47:56","","5379-5383","","12","66","","","","","","","","","","","","","","","","","","","","","Dickeya","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5TGNZ3P4","journalArticle","2016","Khayi, Slimane; Blin, Pauline; Chong, Teik Min; Chan, Kok-Gan; Faure, Denis","Complete genome anatomy of the emerging potato pathogen Dickeya solani type strain IPO 2222T","Standards in Genomic Sciences","","1944-3277","10.1186/s40793-016-0208-0","http://standardsingenomics.biomedcentral.com/articles/10.1186/s40793-016-0208-0","","2016-12","2017-09-07 08:42:03","2017-09-07 08:42:03","2017-09-07 08:42:03","","","1","11","","","","","","","","","","en","","","","","CrossRef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W968IFW2","journalArticle","2017","Fellahi, Siham; El Harrak, Mehdi; Khayi, Slimane; Guerin, Jean-Luc; Kuhn, Jens H.; El Houadfi, Mohammed; Ennaji, My Mustapha; Ducatez, Mariette","Phylogenetic analysis of avian infectious bronchitis virus isolates from Morocco: a retrospective study (1983 to 2014)","Virologica Sinica","","1674-0769, 1995-820X","10.1007/s12250-016-3885-3","http://link.springer.com/10.1007/s12250-016-3885-3","","2017-04","2017-09-07 08:41:18","2017-09-07 08:41:18","2017-09-07 08:41:18","155-158","","2","32","","","Phylogenetic analysis of avian infectious bronchitis virus isolates from Morocco","","","","","","","en","","","","","CrossRef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GEBDZF3P","journalArticle","2014","Khayi, S.; Mondy, S.; Beury-Cirou, A.; Moumni, M.; Helias, V.; Faure, D.","Genome Sequence of the Emerging Plant Pathogen Dickeya solani Strain RNS 08.23.3.1A","Genome Announcements","","2169-8287","10.1128/genomeA.01270-13","http://genomea.asm.org/cgi/doi/10.1128/genomeA.01270-13","","2014-01-30","2015-03-24 21:33:21","2015-03-24 21:33:21","2015-03-24 21:33:21","e01270-13-e01270-13","","1","2","","","","","","","","","","en","","","","","CrossRef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BDEWPWH","journalArticle","2015","Khayi, Slimane; Blin, Pauline; Pédron, Jacques; Chong, Teik-Min; Chan, Kok-Gan; Moumni, Mohieddine; Hélias, Valérie; Gijsegem, Frédérique Van; Faure, Denis","Population genomics reveals additive and replacing horizontal gene transfers in the emerging pathogen Dickeya solani","BMC Genomics","","1471-2164","10.1186/s12864-015-1997-z","http://www.biomedcentral.com/1471-2164/16/788/abstract","Dickeya solani is an emerging pathogen that causes soft rot and blackleg diseases in several crops including Solanum tuberosum, but little is known about its genomic diversity and evolution.","2015-10-14","2015-10-14 14:46:02","2015-10-14 14:46:02","2015-10-14 14:46:02","788","","1","16","","","","","","","","","","en","2015 Khayi et al.","","","","www.biomedcentral.com","","","","C:\Users\workstation_bioinfo\Zotero\storage\NK6BPBIG\Khayi et al. - 2015 - Population genomics reveals additive and replacing.pdf; C:\Users\workstation_bioinfo\Zotero\storage\3ZND7FDB\788.html","","","Dickeya; Horizontal gene transfer; Population genomics; Potato; Soft rot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"698Q6U3H","journalArticle","2015","Fellahi, Siham; EL Harrak, Mehdi; Ducatez, Mariette; Loutfi, Chafiqa; Koraichi, Saad Ibn Souda; Kuhn, Jens H.; Khayi, Slimane; EL Houadfi, Mohammed; Ennaji, My Mustapha","Phylogenetic analysis of avian infectious bronchitis virus S1 glycoprotein regions reveals emergence of a new genotype in Moroccan broiler chicken flocks","Virology Journal","","1743-422X","10.1186/s12985-015-0347-8","http://www.virologyj.com/content/12/1/116","","2015-12","2015-08-04 10:11:44","2015-08-04 10:11:44","2015-08-04 10:11:44","","","1","12","","","","","","","","","","en","","","","","CrossRef","","","","C:\Users\slimane\Downloads\s12985-015-0347-8.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QJ67X4GH","journalArticle","2015","Khayi, Slimane; Raoul des Essarts, Yannick; Quêtu-Laurent, Angélique; Moumni, Mohieddine; Hélias, Valérie; Faure, Denis","Genomic overview of the phytopathogen Pectobacterium wasabiae strain RNS 08.42.1A suggests horizontal acquisition of quorum-sensing genes","Genetica","","0016-6707, 1573-6857","10.1007/s10709-014-9793-2","http://link.springer.com/10.1007/s10709-014-9793-2","","2015-04","2015-07-31 09:24:18","2015-07-31 09:24:18","2015-07-31 09:24:18","241-252","","2","143","","","","","","","","","","en","","","","","CrossRef","","","","C:\Users\workstation_bioinfo\Zotero\storage\7F95W59E\khayi 2014.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QM5TM9ET","journalArticle","2015","Khayi, Slimane; Raoul des Essarts, Yannick; Mondy, Samuel; Moumni, Mohieddine; Hélias, Valérie; Beury-Cirou, Amélie; Faure, Denis","Draft Genome Sequences of the Three Pectobacterium-Antagonistic Bacteria Pseudomonas brassicacearum PP1-210F and PA1G7 and Bacillus simplex BA2H3: TABLE 1","Genome Announcements","","2169-8287","10.1128/genomeA.01497-14","http://genomea.asm.org/lookup/doi/10.1128/genomeA.01497-14","","2015-02-26","2015-07-31 09:23:16","2015-07-31 09:23:16","2015-07-31 09:23:16","e01497-14","","1","3","","","Draft Genome Sequences of the Three Pectobacterium-Antagonistic Bacteria Pseudomonas brassicacearum PP1-210F and PA1G7 and Bacillus simplex BA2H3","","","","","","","en","","","","","CrossRef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AK6G2R9C","journalArticle","2018","Khayi, Slimane; Blin, Pauline; Chong, Teik Min; Robic, Kévin; Chan, Kok-Gan; Faure, Denis","Complete Genome Sequences of the Plant Pathogens Dickeya solani RNS 08.23.3.1.A and Dickeya dianthicola RNS04.9","Genome Announcements","","2169-8287","10.1128/genomeA.01447-17","http://genomea.asm.org/lookup/doi/10.1128/genomeA.01447-17","","2018-01-25","2018-12-13 14:38:15","2018-12-13 14:39:48","2018-12-13 14:38:15","","","4","6","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\workstation_bioinfo\Zotero\storage\LZDUQCUP\Khayi et al. - 2018 - Complete Genome Sequences of the Plant Pathogens .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NQ8QNG8T","journalArticle","2018","Khayi, Slimane; Blin, Pauline; Chong, Teik Min; Chan, Kok-Gan; Faure, Denis","Complete Chromosome and Plasmid Sequences of Two Plant Pathogens, Dickeya solani Strains D s0432-1 and PPO 9019","Genome Announcements","","2169-8287","10.1128/genomeA.00233-18","http://genomea.asm.org/lookup/doi/10.1128/genomeA.00233-18","","2018-04-26","2018-12-13 14:38:50","2018-12-13 14:39:23","2018-12-13 14:38:50","","","17","6","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\workstation_bioinfo\Zotero\storage\U7GM6LZB\Khayi et al. - 2018 - Complete Chromosome and Plasmid Sequences of Two P.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92KCW9QG","journalArticle","2019","Ed-Dra, Abdelaziz; Filali, Fouzia Rhazi; Khayi, Slimane; Oulghazi, Said; Bouchrif, Brahim; El Allaoui, Abdellah; Ouhmidou, Bouchra; Moumni, Mohieddine","Antimicrobial resistance, virulence genes, and genetic diversity of <i>Salmonella enterica</i> isolated from sausages","European Journal of Microbiology and Immunology","","2062-8633","10.1556/1886.2018.00035","https://www.akademiai.com/doi/10.1556/1886.2018.00035","","2019-04-09","2019-05-02 14:00:30","2019-05-02 14:00:30","2019-05-02 14:00:30","1-6","","","","","","","","","","","","","en","","","","","Crossref","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SR242QZS","journalArticle","2020","Drissi Touzani, Charifa; Fellahi, Siham; Fassi Fihri, Ouafaa; Gaboun, Fatima; Khayi, Slimane; Mentag, Rachid; Lico, Chiara; Baschieri, Selene; El Houadfi, Mohammed; Ducatez, Mariette","Complete genome analysis and time scale evolution of very virulent infectious bursal disease viruses isolated from recent outbreaks in Morocco","Infection, Genetics and Evolution","","15671348","10.1016/j.meegid.2019.104097","https://linkinghub.elsevier.com/retrieve/pii/S1567134819303235","Emerging of very virulent infectious bursal disease virus (vvIBDV) genotype in poultry ﬂocks in Morocco were characterized. VP2 sequence analysis showed that the strains of Moroccan vvIBDV genotypes clustered separately from classic and vaccine strains reference of IBDV. The full-length genome of four Moroccan vvIBDV strains was determined, in order to get a more exhaustive molecular characterization allowing to conduct the evolution time scale and speculations on their origin. In a phylogenetic tree, nucleotide sequences of segment A and B formed a common branch with those vvIBDV references strains published in GenBank, but they clearly grouped into a distinct subcluster. An alignment of deduced amino acid sequences segment B, conﬁrmed the presence of the conserved TDN tripeptide found in all of the vvIBDV genotype and revealed the presence of 2 substitutions I472L and E688D speciﬁc for the vvIBDV Moroccan isolates. The deduced amino acid sequences of segment A genes showed the presence of the “signature” typical of the vvIBDV genotype and revealed the presence of 7 aa substitutions speciﬁc for the vvIBDV Moroccan strains. The evolution rate for IBDV VP2 gene was estimated at 5.875 × 10−4 substitutions/site/year. The estimation of the time to most common recent ancestor of Moroccan vvIBDV based on the VP2 sequences available was 31 years, corresponding to 3 years earlier than the ﬁrst vvIBDV case detection in layers in the country.","2020-01","2019-11-08 08:12:29","2019-11-08 08:12:29","2019-11-08 08:12:29","104097","","","77","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\workstation_bioinfo\Desktop\Bibioigraphy_zotero\articles\1-s2.0-S1567134819303235-main.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8945LD5M","journalArticle","2020","Khayi, Slimane; Mentag, Rachid; Jemo, Martin","Draft Genome Sequence of Biological N <sub>2</sub> -Fixing Bacterium <i>Rhizobium tropici</i> A12, Isolated from Root Nodule of Tropical Soybean ( <i>Glycine max</i> ), TGx-1148 Variety","Microbiology Resource Announcements","","2576-098X","10.1128/MRA.00189-20","http://genomea.asm.org/lookup/doi/10.1128/MRA.00189-20","","2020-05-14","2020-05-15 09:10:11","2020-05-15 09:10:11","2020-05-15 09:10:11","","","20","9","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\workstation_bioinfo\Zotero\storage\3W3FQKWB\Khayi et al. - 2020 - Draft Genome Sequence of Biological N sub2sub.pdf","","","","Baltrus, David A.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZW4MILP3","journalArticle","2020","Khayi, Slimane; Gaboun, Fatima; Pirro, Stacy; Tatusova, Tatiana; El Mousadik, Abdelhamid; Ghazal, Hassan; Mentag, Rachid","Complete Chloroplast Genome of Argania spinosa: Structural Organization and Phylogenetic Relationships in Sapotaceae","Plants","","2223-7747","10.3390/plants9101354","https://www.mdpi.com/2223-7747/9/10/1354","","2020-10-13","2020-10-23 10:08:34","2020-10-23 10:08:34","2020-10-23 10:08:34","1354","","10","9","","","Complete Chloroplast Genome of Argania spinosa","","","","","","","en","","","","","Crossref","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZT77C3DM","journalArticle","2020","Khayi, Slimane; Khoulassa, Siham; Gaboun, Fatima; Abdelwahd, Rabha; Diria, Ghizlane; Labhilili, Mustapha; Iraqi, Driss; El Guilli, Mohammed; Fokar, Mohamed; Mentag, Rachid","Draft Genome Sequence of <i>Fusarium oxysporum f. sp. albedinis Strain Foa 133, the Causal Agent of Bayoud Disease on Date Palm","Microbiology Resource Announcements","","2576-098X","10.1128/MRA.00462-20","https://mra.asm.org/content/9/29/e00462-20","","2020-07-16","2020-10-23 10:08:59","2021-04-01 08:00:38","2020-10-23 10:08:59","","","29","9","","","","","","","","","","en","","","","","Crossref","","","","","","","","Rokas, Antonis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B8JSKNLJ","journalArticle","2020","Oulghazi, Saïd; Moumni, Mohieddine; Khayi, Slimane; Robic, Kévin; Sarfraz, Sohaib; Lopez-Roques, Céline; Vandecasteele, Céline; Faure, Denis","Diversity of Pectobacteriaceae Species in Potato Growing Regions in Northern Morocco","Microorganisms","","2076-2607","10.3390/microorganisms8060895","https://www.mdpi.com/2076-2607/8/6/895","","2020-06-13","2020-10-23 10:09:55","2020-10-23 10:09:55","2020-10-23 10:09:55","895","","6","8","","","","","","","","","","en","","","","","Crossref","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
